id,scrape_id,last_scraped,source,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_location,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
69998,20241214212418,2024-12-15,city scrape,COZY HIDEAWAY  LOFT... MI AMOR...,353156,Lor,2011-01-19,"Palma, Spain",within an hour,100%,91%,t,2,5,"['email', 'phone']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.56987,2.65464,Entire loft,,2,1,1,1,$76.00,t,18,47,76,304,2024-12-15,265,3,0,2012-01-24,2024-10-26,4.95,4.92,4.93,4.95,4.97,4.89,4.81,t,2
106833,20241214212418,2024-12-15,city scrape,Villa with a big pool in Mallorca,551974,Xisco,2011-05-02,"Palma de Mallorca, Spain",N/A,N/A,88%,f,1,1,"['email', 'phone']",t,t,,Sant Llorenç des Cardassar,,39.61458,3.301,Entire villa,Entire home/apt,4,1,2,4,$200.00,t,0,0,0,44,2024-12-15,27,8,0,2012-06-05,2024-09-11,4.89,4.81,4.81,4.89,4.92,4.52,4.63,f,1
159218,20241214212418,2024-12-15,city scrape,Farmhouse in Nature -ET-3025,763897,Gabriel,2011-06-30,"Inca, Spain",within an hour,100%,100%,t,1,1,"['email', 'phone']",t,t,"Selva, Balearic Islands, Spain",Selva,,39.73839,2.89745,Entire cottage,Entire home/apt,3,1,1,2,$90.00,t,16,46,76,251,2024-12-15,384,31,0,2011-09-15,2024-10-27,4.92,4.88,4.93,4.96,4.95,4.82,4.75,f,1
164185,20241214212418,2024-12-15,city scrape,Corazón de Palma-Habitación con baño privado.,788123,Maria,2011-07-07,"Costa d'en Blanes, Spain",within an hour,100%,99%,,2,3,['phone'],t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.57271,2.64448,Private room in guest suite,Private room,2,1,1,1,$50.00,t,19,21,50,325,2024-12-15,151,12,0,2011-08-16,2024-10-26,4.75,4.72,4.64,4.93,4.9,4.93,4.68,f,1
166820,20241214212418,2024-12-15,city scrape,Guest House with Great sea views - Principal Room,794829,Toni,2011-07-08,"Balearic Islands, Spain",within an hour,100%,100%,f,4,5,"['email', 'phone']",t,t,,Banyalbufar,,39.67894,2.50052,Private room in home,Private room,2,1,1,1,$70.00,t,15,45,75,75,2024-12-15,319,33,0,2011-08-08,2024-10-08,4.67,4.75,4.35,4.87,4.91,4.94,4.6,t,4
168668,20241214212418,2024-12-15,city scrape,Beautiful farmhouse with pool,804061,Miquel,2011-07-11,"Santa Margalida, Spain",within a few hours,100%,67%,f,1,1,"['email', 'phone']",t,t,"Balearic Islands, Spain",Manacor,,39.66654,3.21845,Entire home,Entire home/apt,4,2,2,4,$150.00,t,0,0,0,0,2024-12-15,66,6,0,2011-10-04,2024-10-24,4.85,4.85,4.86,4.94,4.95,4.85,4.78,f,1
193426,20241214212418,2024-12-15,previous scrape,Apartment Gavina 1B - 3 rooms/wifi/beach near,95323653,Eva Balaguer,2016-09-15,"Balearic Islands, Spain",within a few hours,100%,100%,t,6,8,"['email', 'phone']",t,t,"Pollença, Balearic Islands, Spain",Pollença,,39.89838,3.07582,Entire rental unit,Entire home/apt,5,,3,,,t,0,0,0,0,2024-12-15,105,6,0,2012-05-14,2024-09-15,4.86,4.81,4.94,4.87,4.79,4.76,4.74,t,4
210156,20241214212418,2024-12-15,city scrape,Room Berna ETV/7989,1036132,Toni,2011-08-29,"Alcúdia, Spain",within an hour,100%,100%,t,3,3,"['email', 'phone']",t,t,"Alcúdia, Balearic Islands, Spain",Alcúdia,,39.83462,3.11031,Private room in chalet,Private room,2,2,1,1,$70.00,t,0,0,0,214,2024-12-15,126,3,0,2012-08-11,2024-08-20,4.9,4.96,4.96,4.96,4.97,4.69,4.84,f,3
233901,20241214212418,2024-12-15,city scrape,"Chalet es pinaret gran, con piscina",1224723,Guillermo,2011-09-29,"Balearic Islands, Spain",within an hour,100%,100%,f,1,3,"['email', 'phone']",t,t,"Santanyí, Balearic Islands, Spain",Santanyí,,39.30207,3.07507,Entire cottage,Entire home/apt,6,1.5,3,4,$200.00,t,0,12,42,279,2024-12-15,94,9,0,2012-07-12,2024-10-14,4.77,4.84,4.61,4.84,4.81,4.76,4.66,t,1
238799,20241214212418,2024-12-15,city scrape,Penthouse in Palma close to Portitxol,1251803,Natalia,2011-10-05,Spain,within a few hours,90%,53%,f,1,6,"['email', 'phone']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.56466,2.66164,Entire rental unit,Entire home/apt,2,1,1,1,$213.00,t,26,56,86,361,2024-12-15,115,5,0,2011-12-24,2024-09-22,4.65,4.7,4.72,4.56,4.44,4.3,4.38,f,1
255161,20241214212418,2024-12-15,city scrape,RURAL HOUSE BALITX D'AVALL,1340774,Elvira,2011-10-27,"Balearic Islands, Spain",a few days or more,0%,0%,f,1,1,"['email', 'phone']",t,t,"Fornalutx, Illes Balears, Spain",Fornalutx,,39.81475,2.74256,Castle,Entire home/apt,15,7,7,15,$650.00,t,27,57,87,362,2024-12-15,1,0,0,2018-11-19,2018-11-19,5,5,5,5,5,5,5,f,1
257206,20241214212418,2024-12-15,city scrape,Your Hike and resting room in Mallorca-Family Room,794829,Toni,2011-07-08,"Balearic Islands, Spain",within an hour,100%,100%,f,4,5,"['email', 'phone']",t,t,"Banyalbufar, Illes Balears, Spain",Banyalbufar,,39.68696,2.51196,Private room in home,Private room,3,1,1,2,$69.00,t,15,45,75,75,2024-12-15,327,54,0,2012-04-15,2024-11-04,4.59,4.73,4.32,4.89,4.88,4.91,4.6,t,4
268350,20241214212418,2024-12-15,city scrape,Finca rústica  Sa Rota de Can Mirai - Caimari,1399635,Guillermo,2011-11-12,"Inca, Spain",within an hour,100%,100%,t,1,1,"['email', 'phone']",t,t,,Selva,,39.7744,2.89687,Entire home,Entire home/apt,4,2,2,4,$95.00,t,11,32,51,179,2024-12-15,256,26,1,2012-02-16,2024-12-14,4.91,4.93,4.94,4.96,4.98,4.88,4.86,t,1
323164,20241214212418,2024-12-15,city scrape,Ubicación conveniente en la ciudad de Palma,33523826,Farhang,2015-05-16,"Portals Nous, Spain",N/A,N/A,0%,f,2,10,"['email', 'phone']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.57377,2.645,Private room in guest suite,Private room,2,1,1,1,$40.00,t,25,50,74,337,2024-12-15,104,19,1,2012-04-28,2024-11-16,4.64,4.65,4.51,4.89,4.85,4.88,4.67,f,1
638100,20241214212418,2024-12-15,city scrape,Villa de lujo en los acantilados,3183623,Nieves,2012-08-07,"Valldemossa, Spain",N/A,N/A,100%,f,1,1,"['email', 'phone']",t,t,"Valldemossa, Mallorca, Spain",Valldemossa,,39.70394,2.57625,Entire villa,Entire home/apt,10,3,5,9,$490.00,t,0,0,0,110,2024-12-15,9,1,0,2014-10-09,2024-07-27,4.89,5,4.89,5,4.89,4.67,4.78,t,1
639787,20241214212418,2024-12-15,city scrape,♥ romantic Casita Ses Salines eco friendly ☀ WiFi,3193442,Peter,2012-08-08,"Ses Salines, Spain",within a few hours,100%,40%,t,2,2,"['email', 'phone']",t,t,"Ses Salines, Balearic Islands, Spain",Ses Salines,,39.34724,3.05113,Entire cottage,Entire home/apt,2,1,1,1,$110.00,t,0,0,0,228,2024-12-15,46,3,0,2012-08-31,2024-09-06,4.76,4.98,4.76,4.98,4.89,4.76,4.8,f,2
641406,20241214212418,2024-12-15,city scrape,Studio for two over the ocean,3196379,Iñigo,2012-08-08,"Plentzia, Spain",within an hour,100%,99%,f,4,4,"['email', 'phone', 'work_email']",t,t,"Andratx, Balearic Islands, Spain",Andratx,,39.53404,2.38492,Entire rental unit,Entire home/apt,2,1,1,1,$175.00,t,10,40,66,303,2024-12-15,355,32,1,2012-08-20,2024-11-26,4.82,4.83,4.63,4.93,4.92,4.87,4.6,t,3
655100,20241214212418,2024-12-15,city scrape,Typical village house in Santanyí,3297274,Gabriel,2012-08-18,"Santanyí, Spain",within an hour,100%,100%,t,4,4,"['email', 'phone']",t,t,,Santanyí,,39.35257,3.12934,Entire home,Entire home/apt,6,2,3,5,$140.00,t,11,41,71,232,2024-12-15,113,19,0,2012-09-26,2024-11-04,4.92,4.93,4.93,4.9,4.94,4.89,4.8,t,4
661082,20241214212418,2024-12-15,city scrape,Villa Can Bellet,3207615,Panchorentals . Es,2012-08-09,"Palma, Spain",within an hour,100%,100%,f,43,58,"['email', 'phone']",t,t,,Capdepera,,39.64597,3.43407,Entire home,Entire home/apt,8,3,5,7,$291.00,t,30,60,90,310,2024-12-15,24,2,0,2016-06-12,2024-09-23,4.71,4.75,4.79,4.79,4.88,4.88,4.67,t,38
661111,20241214212418,2024-12-15,city scrape,Villa Paraíso Perdido,3207615,Panchorentals . Es,2012-08-09,"Palma, Spain",within an hour,100%,100%,f,43,58,"['email', 'phone']",t,t,"Llucmajor, Spain",Llucmajor,,39.4398524,2.7501001,Entire home,Entire home/apt,6,2,3,5,$244.00,t,23,53,69,256,2024-12-15,105,9,1,2014-06-16,2024-11-16,4.66,4.71,4.6,4.75,4.83,4.84,4.52,t,38
684725,20241214212418,2024-12-15,previous scrape,Casa ideal en Badia Blava: comodidad y piscina.,2372127,Victoria Y Mercè,2012-05-14,"Llucmajor, Spain",within a day,100%,96%,f,10,13,"['email', 'phone']",t,t,"Llucmajor, Balearic Islands, Spain",Llucmajor,,39.43181,2.75568,Entire home,Entire home/apt,6,,3,,,t,5,23,25,25,2024-12-15,83,12,0,2013-09-21,2024-10-30,4.84,4.92,4.89,4.92,4.93,4.55,4.75,f,10
686911,20241214212418,2024-12-15,city scrape,Acogedor apartamento en el centro,2297777,Pili,2012-05-05,"Balearic Islands, Spain",within an hour,100%,100%,,9,13,"['email', 'phone']",t,t,"Palma, Illes Balears, Spain",Palma de Mallorca,,39.57432,2.64699,Entire rental unit,Entire home/apt,3,1,1,1,$50.00,t,10,13,43,306,2024-12-15,189,2,0,2013-06-07,2024-05-15,4.72,4.78,4.84,4.89,4.87,4.92,4.54,f,2
324256,20241214212418,2024-12-15,city scrape,Villa Rustica Moderna en Es Trenc,1659633,Gabo,2012-01-27,"Palma de Mallorca, Spain",N/A,N/A,100%,f,1,1,"['email', 'phone']",t,t,,Campos,,39.40072,3.02327,Entire home,Entire home/apt,8,4.5,4,5,$450.00,t,21,21,22,22,2024-12-15,16,9,0,2013-10-13,2024-09-27,4.75,4.81,4.63,4.44,4.81,4.63,4.63,f,1
961397,20241214212418,2024-12-15,city scrape,Habitación doble con terraza SA,5182659,Marga,2013-02-22,"Sa Pobla, Spain",within an hour,89%,100%,f,3,14,"['email', 'phone']",t,t,"Alaró, Mallorca, Spain",Alaró,,39.70662,2.79085,Private room in bed and breakfast,Private room,2,1,1,2,$58.00,t,27,57,87,356,2024-12-15,10,1,0,2021-08-15,2024-08-22,4.8,4.5,4.9,4.6,4.5,4.9,4.6,t,3
961665,20241214212418,2024-12-15,city scrape,TRADITIONAL HOUSE IN PORTOCOLOM,5223210,Carmen,2013-02-25,"Portocolom, Spain",within an hour,100%,100%,t,1,3,"['email', 'phone']",t,t,,Felanitx,,39.42713,3.26599,Entire home,Entire home/apt,4,2,2,3,$85.00,t,0,0,19,239,2024-12-15,275,51,2,2013-05-15,2024-11-25,4.89,4.9,4.94,4.99,4.98,4.87,4.85,t,1
963031,20241214212418,2024-12-15,city scrape,alquiler casa de campo en llubi,5247683,Gregorio,2013-02-27,"Balearic Islands, Spain",a few days or more,0%,0%,f,1,1,"['email', 'phone']",t,t,,Llubí,,39.68714,3.0348,Entire home,Entire home/apt,2,1,1,1,$145.00,t,28,58,88,363,2024-12-15,28,0,0,2013-05-02,2021-08-19,4.7,4.89,4.82,4.89,4.75,4.68,4.75,f,1
